
2019-05-16 19:55:57 : 

[*] Agent info:
  nonce           	7445767061672652
  jitter          	0.0
  servers         	None
  internal_ip     	192.168.226.1 fe80::9442:f8f3:5b23:22d1 192.168.153.1
                                fe80::78a5:53be:b208:43ea 192.168.1.5 fe80::a41d:e79e:d3d7:49a8
                                169.254.182.30 fe80::4d72:dc5a:5819:b61e
  working_hours   	
  session_key     	h:}c3FNTSI75$M=4<ul1RX+Yp?/\2^Z8
  children        	None
  checkin_time    	2019-05-16 19:55:56
  hostname        	LAMEDIM-LT
  id              	2
  delay           	5
  username        	LAMEDIM-LT\User
  kill_date       	
  parent          	None
  process_name    	powershell
  listener        	http
  process_id      	9996
  profile         	/admin/get.php,/news.php,/login/process.php|Mozilla/5.0 (Windows NT
                                6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
  os_details      	Microsoft Windows 10 Home
  lost_limit      	60
  taskings        	None
  name            	P8A21MH4
  language        	powershell
  external_ip     	192.168.153.1
  session_id      	P8A21MH4
  lastseen_time   	2019-05-16 19:55:56
  language_version	5
  high_integrity  	1


[+] Agent P8A21MH4 now active:


2019-05-16 19:56:59 : 
[*] Agent renamed from P8A21MH4 to UACbypass
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 18816     psapi.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:55 AM 51        pscript.sep                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:46 AM 68920     PSHED.DLL                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:23 AM 593920    psisdecd.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:23 AM 98816     psisrndr.ax                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:29 AM 50176     PSModuleDiscoveryProvider.dll                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:29 AM 4148      psmodulediscoveryprovider.mof                       
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:13 AM  663552    PsmServiceExtHost.dll                               
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:13 AM  241664    psmsrv.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 601600    psr.exe                                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:23 AM 15360     pstask.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 16384     pstorec.dll                                         
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:06 AM  224256    ptpprov.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 201728    puiapi.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 463360    puiobj.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:34 AM 270336    PushToInstall.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:20 AM 327680    pwlauncher.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:21 AM 35328     pwlauncher.exe                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:46 AM 93184     pwrshplugin.dll                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:20 AM 31744     pwsso.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 154112    qasf.dll                                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 195072    qcap.dll                                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 250368    qdv.dll                                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:21 AM 392192    qdvd.dll                                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:23 AM 641536    qedit.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 733696    qedwipes.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 1388032   qmgr.dll                                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:21 AM 1639424   quartz.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:32 AM 107008    Query.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:41 AM 346112    QuickActionsDataModel.dll                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 12:09:32 PM 641024    quickassist.exe                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:41 AM 547840    QuietHours.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 296960    qwave.dll                                           
-a---- BUILTIN\Administrators      3/4/2016 3:52:00 AM   134208    R4EEA64A.dll                                        
-a---- BUILTIN\Administrators      3/4/2016 3:52:00 AM   447720    R4EED64A.dll                                        
-a---- BUILTIN\Administrators      3/4/2016 3:52:00 AM   84624     R4EEG64A.dll                                        
-a---- BUILTIN\Administrators      3/4/2016 3:52:00 AM   151792    R4EEL64A.dll                                        
-a---- BUILTIN\Administrators      3/4/2016 3:52:00 AM   7172920   R4EEP64A.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:21 AM 34816     RacEngn.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:47 AM 132096    racpldlg.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:23 AM 99328     radardt.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:23 AM 71168     radarrs.dll                                         
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:18 AM  343552    RADCUI.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 16896     rasadhlp.dll                                        
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:15 AM  954368    rasapi32.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 104448    rasauto.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 17920     rasautou.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 157696    raschap.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 281088    raschapext.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 1820      rasctrnm.h                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 21504     rasctrs.dll                                         
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:15 AM  407552    rascustom.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 81920     rasdiag.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 19968     rasdial.exe                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 949760    rasdlg.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:47 AM 134144    raserver.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:55 AM 952832    rasgcw.dll                                          
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:15 AM  184320    rasman.dll                                          
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:15 AM  927232    rasmans.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 61952     rasmbmgr.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:38 AM 333824    RasMediaManager.dll                                 
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 1667072   RASMM.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 354304    rasmontr.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 34816     rasphone.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 489472    rasplap.dll                                         
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:15 AM  305664    rasppp.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 254464    rastapi.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 521216    rastls.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 375808    rastlsext.dll                                       
-a---- BUILTIN\Administrators      3/4/2016 3:52:00 AM   2049280   RCoInstII64.dll                                     
-a---- BUILTIN\Administrators      3/4/2016 3:52:02 AM   72203784  RCoRes64.dat                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:25 AM 685568    rdbui.dll                                           
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:13 AM  1478968   rdpbase.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 11264     rdpcfgex.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 426496    rdpclip.exe                                         
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:13 AM  1256448   rdpcore.dll                                         
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:01 AM  1672704   rdpcorets.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:36 AM 416768    rdpencom.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 304880    rdpendp.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 182272    rdpinput.exe                                        
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:01 AM  2017792   rdpnano.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:25 AM 228352    RdpRelayTransport.dll                               
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:23 AM 43520     RdpSa.exe                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 28160     RdpSaProxy.exe                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:23 AM 15360     RdpSaPs.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:23 AM 30720     RdpSaUacHelper.exe                                  
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:13 AM  1830200   rdpserverbase.dll                                   
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:01 AM  95544     rdpudd.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:46 AM 46592     rdrleakdiag.exe                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:23 AM 83968     RDSAppXHelper.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:23 AM 180224    rdsdwmdr.dll                                        
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:30 AM  59904     RDSPnf.exe                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 80896     rdvvmtransport.dll                                  
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:46 AM 658944    RDXService.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:25 AM 411136    RDXTaskFactory.dll                                  
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:09 AM  1087800   ReAgent.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:29 AM 40960     ReAgentc.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:29 AM 13824     ReAgentTask.dll                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:25 AM 194048    recdisc.exe                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:13 AM 13824     recover.exe                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 90624     recovery.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 910336    RecoveryDrive.exe                                   
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:17 AM  1010176   refsutil.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 74240     reg.exe                                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:44 AM 105984    regapi.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:59 AM 51200     RegCtrl.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:21 AM 11776     regedt32.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:21 AM 15872     regidle.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:21 AM 46592     regini.exe                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:26 AM 24576     Register-CimProvider.exe                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 159232    regsvc.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 24064     regsvr32.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:34 AM 35112     reguwpapi.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:29 AM 185344    ReInfo.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 121856    rekeywiz.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:20 AM 53760     relog.exe                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:29 AM 160256    RelPost.exe                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:20 AM 88352     remoteaudioendpoint.dll                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 208384    remotepg.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:36 AM 12800     RemotePosWorker.exe                                 
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 104960    remotesp.tsp                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 1613      RemoteSystemToastIcon.contrast-white.png            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 1124      RemoteSystemToastIcon.png                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:21 AM 43008     RemoteWipeCSP.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:25 AM 66048     RemovableMediaProvisioningPlugin.dll                
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 70656     RemoveDeviceContextHandler.dll                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 14336     RemoveDeviceElevated.dll                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:47 AM 6656      rendezvousSession.tlb                               
-a---- NT SERVICE\TrustedInstaller 9/15/2018 12:10:59 PM 128000    repair-bde.exe                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 21504     replace.exe                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 120320    ReportingCSP.dll                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 12:11:01 PM 249112    RESAMPLEDMO.DLL                                     
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:29 AM  1224704   reseteng.dll                                        
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:29 AM  2298880   ResetEngine.dll                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 11264     ResetEngine.exe                                     
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:29 AM  241152    ResetEngOnline.dll                                  
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:21 AM 110592    resmon.exe                                          
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:26 AM  489984    ResourceMapper.dll                                  
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 71280     ResourcePolicyClient.dll                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 144896    ResourcePolicyServer.dll                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:25 AM 9312      ResPriHMImageList                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:25 AM 9312      ResPriHMImageListLowCost                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:25 AM 8735      ResPriImageList                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:25 AM 8735      ResPriImageListLowCost                              
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 714       RestartManager.mof                                  
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 176       RestartManagerUninstall.mof                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:39 AM 759       RestartNowPower_80.contrast-black.png               
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:39 AM 785       RestartNowPower_80.contrast-white.png               
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:39 AM 759       RestartNowPower_80.png                              
-a---- BUILTIN\Administrators      5/12/2016 3:15:58 AM  16806     results.xml                                         
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:26 AM  621568    resutils.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 179712    rgb9rast.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 151552    Ribbons.scr                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 607744    riched20.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 10240     riched32.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:25 AM 62976     rilproxy.dll                                        
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:08 AM  119296    RjvMDMConfig.dll                                    
-a---- BUILTIN\Administrators      3/4/2016 3:52:02 AM   3084400   RltkAPO64.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:25 AM 574976    RMActivate.exe                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:25 AM 604160    RMActivate_isv.exe                                  
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:25 AM 500224    RMActivate_ssp.exe                                  
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:25 AM 500224    RMActivate_ssp_isv.exe                              
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:15 AM  156160    RMapi.dll                                           
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:13 AM  151872    rmclient.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 17920     RmClient.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 102912    RMSRoamingSecurity.dll                              
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:58 AM 134656    rmttpmvscmgrsvr.exe                                 
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:20 AM 2560      rnr20.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 48128     RoamingSecurity.dll                                 
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 134656    Robocopy.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 234440    rometadata.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:21 AM 49152     RotMgr.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 24576     ROUTE.EXE                                           
-a---- BUILTIN\Administrators      3/4/2016 3:52:02 AM   321720    RP3DAA64.dll                                        
-a---- BUILTIN\Administrators      3/4/2016 3:52:02 AM   321720    RP3DHT64.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 80384     RpcEpMap.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 198656    rpchttp.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 10240     RpcNs4.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:43 AM 32768     rpcnsh.dll                                          
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:18 AM  30720     RpcPing.exe                                         
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:19 AM  1180248   rpcrt4.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:36 AM 62696     RpcRtRemote.dll                                     
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:05 AM  1208320   rpcss.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 12:11:01 PM 47616     rrinstaller.exe                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 202440    rsaenh.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 133120    rshx32.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 223744    RstrtMgr.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:25 AM 269312    rstrui.exe                                          
-a---- BUILTIN\Administrators      5/12/2016 6:53:42 PM  56064     RtCamO64.dll                                        
-a---- BUILTIN\Administrators      5/12/2016 6:50:34 PM  590080    RtCamP64.dll                                        
-a---- BUILTIN\Administrators      4/24/2015 12:52:46 PM 549080    RtCamX64.dll                                        
-a---- BUILTIN\Administrators      3/4/2016 3:52:02 AM   1356504   RTCOM64.dll                                         
-a---- BUILTIN\Administrators      3/4/2016 3:52:04 AM   689888    RtDataProc64.dll                                    
-a---- BUILTIN\Administrators      3/4/2016 3:52:04 AM   214832    RTEED64A.dll                                        
-a---- BUILTIN\Administrators      3/4/2016 3:52:04 AM   88352     RTEEG64A.dll                                        
-a---- BUILTIN\Administrators      3/4/2016 3:52:04 AM   110992    RTEEL64A.dll                                        
-a---- BUILTIN\Administrators      3/4/2016 3:52:04 AM   387320    RTEEP64A.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 47104     rtffilt.dll                                         
-a---- BUILTIN\Administrators      3/4/2016 3:52:04 AM   3283248   RtkApi64.dll                                        
-a---- BUILTIN\Administrators      3/4/2016 3:52:04 AM   192984    RtkCfg64.dll                                        
-a---- BUILTIN\Administrators      3/4/2016 3:52:04 AM   23704     RtkCoLDR64.dll                                      
-a---- BUILTIN\Administrators      3/4/2016 3:52:04 AM   343712    RtlCPAPI64.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 179712    rtm.dll                                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:58 AM 1096648   rtmcodecs.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 485376    RTMediaFrame.dll                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:58 AM 57792     rtmmvrortc.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:58 AM 1364936   rtmpal.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:58 AM 4877256   rtmpltfm.dll                                        
-a---- BUILTIN\Administrators      3/4/2016 3:52:06 AM   3199232   RtPgEx64.dll                                        
-a---- BUILTIN\Administrators      3/4/2016 3:52:06 AM   2896000   RTSnMg64.cpl                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 65536     rtutils.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 169384    RTWorkQ.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 96256     RuleBasedDS.dll                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:23 AM 19968     runas.exe                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 71168     rundll32.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:46 AM 57856     runexehelper.exe                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:25 AM 73216     RunLegacyCPLElevated.exe                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 59392     runonce.exe                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:29 AM 99688     RuntimeBroker.exe                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 78848     samcli.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:46 AM 122368    samlib.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:46 AM 924160    samsrv.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 14848     sas.dll                                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 953344    sbe.dll                                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 195584    sbeio.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:23 AM 66048     sberes.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:34 AM 22528     sbservicetrigger.dll                                
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 69632     sc.exe                                              
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:18 AM 287744    scansetting.dll                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:59 AM 49152     SCardBi.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:59 AM 81408     SCardDlg.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:59 AM 262656    SCardSvr.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:46 AM 10429     ScavengeSpace.xml                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:46 AM 69120     scavengeui.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:59 AM 200192    ScDeviceEnum.dll                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 279040    scecli.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 515584    scesrv.dll                                          
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:05 AM  522752    schannel.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:46 AM 25600     schedcli.dll                                        
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:18 AM  872448    schedsvc.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:39 AM 538       ScheduleTime_80.contrast-black.png                  
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:39 AM 551       ScheduleTime_80.contrast-white.png                  
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:39 AM 538       ScheduleTime_80.png                                 
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:44 AM 222720    schtasks.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:59 AM 262144    scksp.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:19 AM 87040     scripto.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:25 AM 37888     scrnsave.scr                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 226304    scrobj.dll                                          
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:15 AM  195072    scrrun.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 24064     sdbinst.exe                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:47 AM 49664     sdchange.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 1218560   sdclt.exe                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:13 AM 751616    sdcpl.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:53 AM 424960    SDDS.dll                                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 1192960   sdengin2.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:13 AM 36200     SDFHost.dll                                         
